AECGRegion,AgeID,ASGSRemoteness,Average of Average of Latitude,Average of Average of Longitude,Average of Average of PostCode,Day,Day_4,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,ICSEA_Value,indigenous_pct,LateOpeningSchool,lbote_pct,lga,LocalHealthDistrict,Month,Month_3,OperationalDirectorate,OpportunityClass,Phone,Preschool,PrincipalNetwork,Quarter,Quarter_2,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses,Year,Year_1
Central Coast,1,Major Cities of Australia,-33.428082,151.347464,2250.00,3,29,No,Hunter New England & Central Coast,Gosford,No,4323 7451,Robertson,,"",No,"",Gosford (C),Central Coast,July,January,Macquarie Park,No,4324 7200,No,Gosford,Qtr 3,Qtr 1,1,rumbalara-e.school@det.nsw.edu.au,Co-Ed,Environmental Education Centre,Rumbalara Environmental Education Centre,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),Not Selective,Donnison St,,Gosford,"",2017,1991
Central Coast,1,Major Cities of Australia,-33.398422,151.334064,2250.00,3,29,No,Hunter New England & Central Coast,Gosford,No,4328 3609,Robertson,997,7,No,9,Gosford (C),Central Coast,July,January,Macquarie Park,No,4329 3780,No,Gosford,Qtr 3,Qtr 1,1,nararavaly-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Narara Valley High School,Comprehensive,Year 7 to Year 12,Not Selective,Cnr Fountains & Pandala Rds,1036.2,Narara,"",2017,1991
Central Coast,1,Major Cities of Australia,-33.43039,151.296076,2250.00,3,27,No,Hunter New England & Central Coast,Gosford,No,4340 0259,Robertson,983,6,No,9,Gosford (C),Central Coast,July,January,Macquarie Park,No,4340 0246,No,Wyong,Qtr 3,Qtr 1,1,kariongmtn-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kariong Mountains High School,Comprehensive,Year 7 to Year 12,Not Selective,Festival Drive,583.4,Kariong,"",2017,2010
Central Coast,1,Major Cities of Australia,-33.441014,151.289632,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4340 2523,Robertson,999,5,No,10,Gosford (C),Central Coast,July,January,Macquarie Park,No,4340 1885,No,Wyong,Qtr 3,Qtr 1,1,kariong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kariong Public School,Comprehensive,Kinder to Year 6,Not Selective,Langford Drive,579,Kariong,"",2017,1988
Central Coast,1,Major Cities of Australia,-33.4237,151.296,2250.00,3,7,No,Hunter New England & Central Coast,Gosford,No,4340 2527,Robertson,,35,No,19,Gosford (C),Central Coast,July,January,Macquarie Park,No,4340 1353,No,Gosford,Qtr 3,Qtr 1,1,girrakool-s.school@det.nsw.edu.au,Boys,Schools for Specific Purposes,Girrakool School,Comprehensive,Juvenile Justice establishment,Not Selective,Pacific Hwy,77,Kariong,"",2017,1913
Central Coast,1,Major Cities of Australia,-33.513539,151.332702,2257.00,3,5,No,Hunter New England & Central Coast,Gosford,No,4343 1517,Robertson,958,10,No,10,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 3550,No,Gosford,Qtr 3,Qtr 1,1,ettalong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Ettalong Public School,Comprehensive,Kinder to Year 6,Not Selective,Karingi St,532,Ettalong Beach,"",2017,1928
Central Coast,1,Major Cities of Australia,-33.507421,151.308139,2257.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4343 1704,Robertson,942,10,No,10,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 9066,No,Gosford,Qtr 3,Qtr 1,1,umina-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Brisbane Water Secondary College Umina Campus,Junior College,Year 7 to Year 10,Not Selective,Veron Rd,873,Umina,"",2017,1976
Central Coast,1,Major Cities of Australia,-33.503577,151.321429,2256.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4343 1984,Robertson,947,12,No,8,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 1899,No,Gosford,Qtr 3,Qtr 1,1,woywoysth-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woy Woy South Public School,Comprehensive,Kinder to Year 6,Not Selective,The School Mall,493,Woy Woy,"",2017,1964
Central Coast,1,Major Cities of Australia,-33.492687,151.323582,2256.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4344 3263,Robertson,,11,No,12,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 1600,No,Gosford,Qtr 3,Qtr 1,1,woywoy-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Brisbane Water Secondary College Woy Woy Campus,Senior College,Year 10 to Year 12,Not Selective,Edward St,658.6,Woy Woy,"",2017,1962
Central Coast,1,Major Cities of Australia,-33.52511,151.314055,2257.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4344 3916,Robertson,997,7,No,12,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 1630,No,Gosford,Qtr 3,Qtr 1,1,umina-p.school@det.nsw.edu.au,Co-Ed,Primary School,Umina Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,Sydney Ave,800,Umina Beach,"",2017,1956
Central Coast,1,Major Cities of Australia,-33.491705,151.328247,2256.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4344 3927,Robertson,982,12,No,14,Gosford (C),Central Coast,July,January,Macquarie Park,No,4341 3555,Yes,Gosford,Qtr 3,Qtr 1,1,woywoy-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woy Woy Public School,Comprehensive,Kinder to Year 6,Not Selective,Blackwall & Park Rds,424,Woy Woy,"",2017,1954
Central Coast,1,Major Cities of Australia,-33.42075,151.33449,2250.00,3,1,No,Hunter New England & Central Coast,Gosford,No,4349 3699,Robertson,1062,5,No,35,Gosford (C),Central Coast,July,February,Macquarie Park,Yes,4349 3600,No,Gosford,Qtr 3,Qtr 1,1,gosford-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gosford Public School,Comprehensive,Kinder to Year 6,Not Selective,Faunce St West,525,West Gosford,"",2017,1865
Central Coast,1,Major Cities of Australia,-33.174833,151.482961,2259.00,3,1,No,Hunter New England & Central Coast,Lake Macquarie,No,4357 1828,Hunter,944,14,No,5,Lake Macquarie (C),Hunter New England,July,May,Tamworth & Coffs Harbour,No,4357 1225,No,Lake Macquarie West,Qtr 3,Qtr 2,1,wyee-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wyee Public School,Comprehensive,Kinder to Year 6,Not Selective,Wyee St,209,Wyee,"",2017,1879
Central Coast,1,Major Cities of Australia,-33.104657,151.486629,2264.00,3,1,No,Hunter New England & Central Coast,Lake Macquarie,No,4970 5386,Hunter,929,11,No,4,Lake Macquarie (C),Hunter New England,July,January,Tamworth & Coffs Harbour,No,4973 1999,No,Lake Macquarie West,Qtr 3,Qtr 1,1,morisset-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Morisset High School,Comprehensive,Year 7 to Year 12,Not Selective,Bridge St,755.4,Morisset,"",2017,1965
Central Coast,1,Major Cities of Australia,-33.103543,151.489583,2264.00,3,1,No,Hunter New England & Central Coast,Lake Macquarie,No,4970 5939,Hunter,934,13,No,8,Lake Macquarie (C),Hunter New England,July,August,Tamworth & Coffs Harbour,No,4973 1435,No,Lake Macquarie West,Qtr 3,Qtr 3,1,morisset-p.school@det.nsw.edu.au,Co-Ed,Primary School,Morisset Public School,Comprehensive,Kinder to Year 6,Not Selective,6 Terrigal Street,224,Morisset,"",2017,1891
Central Coast,1,Major Cities of Australia,-33.1882,151.575559,2259.00,3,1,No,Hunter New England & Central Coast,Swansea,No,"",Shortland,962,10,No,4,Wyong (A),Central Coast,July,January,Macquarie Park,No,4358 1171,No,Wyong,Qtr 3,Qtr 1,1,lakemunmor-p.school@det.nsw.edu.au,Co-Ed,Primary School,Lake Munmorah Public School,Comprehensive,Kinder to Year 6,Not Selective,Carters Rd,470,Lake Munmorah,"",2017,1923
Central Coast,1,Major Cities of Australia,-33.189743,151.573699,2259.00,3,28,No,Hunter New England & Central Coast,Swansea,No,4358 1433,Shortland,947,9,No,4,Wyong (A),Central Coast,July,January,Macquarie Park,No,4358 1411,No,Wyong,Qtr 3,Qtr 1,1,lakemunmor-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Lake Munmorah High School,Comprehensive,Year 7 to Year 12,Not Selective,Carters Rd,699,Lake Munmorah,"",2017,2000
Central Coast,1,Major Cities of Australia,-33.150794,151.536785,2259.00,3,9,No,Hunter New England & Central Coast,Swansea,No,4359 1667,Shortland,929,8,No,3,Wyong (A),Central Coast,July,January,Macquarie Park,No,4359 1184,No,Wyong,Qtr 3,Qtr 1,1,mannringpk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mannering Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Vales Rd,229,Mannering Park,"",2017,1961
Central Coast,1,Major Cities of Australia,-33.216762,151.513395,2262.00,3,1,No,Hunter New England & Central Coast,Swansea,No,4399 1792,Shortland,922,12,No,5,Wyong (A),Central Coast,July,January,Macquarie Park,No,4390 0555,No,Wyong,Qtr 3,Qtr 1,1,northlake-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Northlakes High School,Comprehensive,Year 7 to Year 12,Not Selective,Brava Ave,877.4,San Remo,"",2017,1981
Central Coast,1,Major Cities of Australia,-33.214542,151.514788,2262.00,3,29,No,Hunter New England & Central Coast,Swansea,No,4399 1935,Shortland,909,12,No,6,Wyong (A),Central Coast,July,January,Macquarie Park,No,4399 2071,No,Wyong,Qtr 3,Qtr 1,1,northlake-p.school@det.nsw.edu.au,Co-Ed,Primary School,Northlakes Public School,Comprehensive,Kinder to Year 6,Not Selective,69 Goorama Avenue,380,San Remo,"",2017,1991
Central Coast,1,Major Cities of Australia,-33.225718,151.549312,2262.00,3,1,No,Hunter New England & Central Coast,Swansea,No,4399 1958,Shortland,938,18,No,4,Wyong (A),Central Coast,July,January,Macquarie Park,No,4390 9166,No,Wyong,Qtr 3,Qtr 1,1,budgewoi-p.school@det.nsw.edu.au,Co-Ed,Primary School,Budgewoi Public School,Comprehensive,Kinder to Year 6,Not Selective,Lukela Ave,562,Budgewoi,"",2017,1961
Central Coast,1,Major Cities of Australia,-33.135468,151.582444,2259.00,3,9,No,Hunter New England & Central Coast,Swansea,No,4972 5189,Shortland,953,12,No,5,Wyong (A),Central Coast,July,January,Macquarie Park,No,4976 1318,No,Wyong,Qtr 3,Qtr 1,1,gwandalan-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gwandalan Public School,Comprehensive,Kinder to Year 6,Not Selective,Kanangra Drive,339,Gwandalan,"",2017,1961
Central Coast,1,Major Cities of Australia,-33.429911,151.369267,2250.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4323 6891,Robertson,949,16,No,11,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 3963,No,Gosford,Qtr 3,Qtr 1,1,chertsey-p.school@det.nsw.edu.au,Co-Ed,Primary School,Chertsey Primary School,Comprehensive,Kinder to Year 6,Not Selective,Willow Rd,220,Springfield,"",2017,1968
Central Coast,1,Major Cities of Australia,-33.528039,151.350019,2257.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4360 2153,Robertson,1104,0,No,12,Gosford (C),Central Coast,July,January,Macquarie Park,No,4360 1012,No,Gosford,Qtr 3,Qtr 1,1,prettybch-p.school@det.nsw.edu.au,Co-Ed,Primary School,Pretty Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,4 Pretty Beach Road,170,Pretty Beach,"",2017,1927
Central Coast,1,Major Cities of Australia,-33.504316,151.362889,2256.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4363 1052,Robertson,1023,5,No,7,Gosford (C),Central Coast,July,April,Macquarie Park,No,4369 1796,No,Gosford,Qtr 3,Qtr 2,1,empirebay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Empire Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,Empire Bay Drive,455,Empire Bay,"",2017,1881
Central Coast,1,Major Cities of Australia,-33.478822,151.357294,2251.00,3,9,No,Hunter New England & Central Coast,Terrigal,No,4363 1068,Robertson,1026,3,No,7,Gosford (C),Central Coast,July,January,Macquarie Park,No,4369 1246,No,Gosford,Qtr 3,Qtr 1,1,brisbania-p.school@det.nsw.edu.au,Co-Ed,Primary School,Brisbania Public School,Comprehensive,Kinder to Year 6,Not Selective,1 High Street,458,Saratoga,"",2017,1941
Central Coast,1,Major Cities of Australia,-33.464894,151.382516,2251.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4363 1265,Robertson,1003,6,No,6,Gosford (C),Central Coast,July,January,Macquarie Park,No,4369 1555,No,Gosford,Qtr 3,Qtr 1,1,kincumber-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kincumber High School,Comprehensive,Year 7 to Year 12,Not Selective,Bungoona Rd,881,Kincumber,"",2017,1990
Central Coast,1,Major Cities of Australia,-33.440279,151.381503,2250.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4365 3086,Robertson,982,6,No,7,Gosford (C),Central Coast,July,January,Macquarie Park,No,4367 7353,No,Gosford,Qtr 3,Qtr 1,1,erina-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Erina High School,Comprehensive,Year 7 to Year 12,Not Selective,152 The Entrance Rd,700,Erina,"",2017,1964
Central Coast,1,Major Cities of Australia,-33.405106,151.407722,2250.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4365 3088,Dobell,1087,np,No,8,Gosford (C),Central Coast,July,January,Macquarie Park,No,4367 7444,No,Gosford,Qtr 3,Qtr 1,1,holgate-p.school@det.nsw.edu.au,Co-Ed,Primary School,Holgate Public School,Comprehensive,Kinder to Year 6,Not Selective,Rmb 5255 Wattle Tree Rd,167,Holgate,"",2017,1928
Central Coast,1,Major Cities of Australia,-33.428028,151.413585,2260.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4365 3104,Robertson,1080,3,No,3,Gosford (C),Central Coast,July,May,Macquarie Park,No,4367 7608,No,Gosford,Qtr 3,Qtr 2,1,erinahts-p.school@det.nsw.edu.au,Co-Ed,Primary School,Erina Heights Public School,Comprehensive,Kinder to Year 6,Not Selective,Serpentine Rd,339,Erina Heights,"",2017,1873
Central Coast,1,Major Cities of Australia,-33.439347,151.37849,2250.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4365 3108,Robertson,1013,5,No,11,Gosford (C),Central Coast,July,January,Macquarie Park,No,4367 7324,No,Gosford,Qtr 3,Qtr 1,1,woodport-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woodport Public School,Comprehensive,Kinder to Year 6,Not Selective,The Entrance Rd,395,Erina,"",2017,1893
Central Coast,1,Major Cities of Australia,-33.468184,151.394355,2251.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4369 2963,Robertson,1014,7,No,7,Gosford (C),Central Coast,July,April,Macquarie Park,No,4369 1544,No,Gosford,Qtr 3,Qtr 2,1,kincumber-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kincumber Public School,Comprehensive,Kinder to Year 6,Not Selective,Avoca Drive,443,Kincumber,"",2017,1870
Central Coast,1,Major Cities of Australia,-33.485042,151.436848,2251.00,3,2,No,Hunter New England & Central Coast,Terrigal,No,4381 1427,Robertson,1079,2,No,8,Gosford (C),Central Coast,July,January,Macquarie Park,No,4382 1766,No,Gosford,Qtr 3,Qtr 1,1,copacabana-p.school@det.nsw.edu.au,Co-Ed,Primary School,Copacabana Public School,Comprehensive,Kinder to Year 6,Not Selective,Pueblo St,331,Copacabana,"",2017,1983
Central Coast,1,Major Cities of Australia,-33.471154,151.430745,2251.00,3,5,No,Hunter New England & Central Coast,Terrigal,No,4381 1431,Robertson,1094,4,No,6,Gosford (C),Central Coast,July,January,Macquarie Park,No,4382 1416,No,Gosford,Qtr 3,Qtr 1,1,avocabch-p.school@det.nsw.edu.au,Co-Ed,Primary School,Avoca Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,The Round Drive,511,Avoca Beach,"",2017,1935
Central Coast,1,Major Cities of Australia,-33.442167,151.429342,2260.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4385 2469,Robertson,1041,3,No,8,Gosford (C),Central Coast,July,January,Macquarie Park,No,4384 4677,No,Gosford,Qtr 3,Qtr 1,1,terrigal-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Terrigal High School,Comprehensive,Year 7 to Year 12,Not Selective,Charles Kay Drive,1044,Terrigal,"",2017,1978
Central Coast,1,Major Cities of Australia,-33.442449,151.438197,2260.00,3,9,No,Hunter New England & Central Coast,Terrigal,No,4385 2470,Robertson,1051,5,No,9,Gosford (C),Central Coast,July,January,Macquarie Park,No,4384 4599,No,Gosford,Qtr 3,Qtr 1,1,terrigal-p.school@det.nsw.edu.au,Co-Ed,Primary School,Terrigal Public School,Comprehensive,Kinder to Year 6,Not Selective,Havenview Rd,796,Terrigal,"",2017,1910
Central Coast,1,Major Cities of Australia,-33.412197,151.448258,2260.00,3,1,No,Hunter New England & Central Coast,Terrigal,No,4385 2478,Dobell,1035,5,No,5,Gosford (C),Central Coast,July,August,Macquarie Park,No,4384 1111,No,Wyong,Qtr 3,Qtr 3,1,wamberal-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wamberal Public School,Comprehensive,Kinder to Year 6,Not Selective,Lea Ave,732,Wamberal,"",2017,1877
Central Coast,1,Major Cities of Australia,-33.408202,151.355782,2250.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4323 6932,Dobell,946,15,No,15,Gosford (C),Central Coast,July,January,Macquarie Park,No,4325 2181,No,Gosford,Qtr 3,Qtr 1,1,wyoming-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wyoming Public School,Comprehensive,Kinder to Year 6,Not Selective,Maidens Brush Rd,329,Wyoming,"",2017,1955
Central Coast,1,Major Cities of Australia,-33.385327,151.370354,2250.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4329 1416,Dobell,1000,4,No,12,Gosford (C),Central Coast,July,January,Macquarie Park,No,4328 4599,No,Gosford,Qtr 3,Qtr 1,1,lisarow-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Lisarow High School,Comprehensive,Year 7 to Year 12,Not Selective,Chamberlain Rd,745.2,Lisarow,"",2017,1980
Central Coast,1,Major Cities of Australia,-33.384122,151.351096,2250.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4329 1420,Robertson,1013,3,No,10,Gosford (C),Central Coast,July,January,Macquarie Park,No,4328 3397,No,Gosford,Qtr 3,Qtr 1,1,niagarapk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Niagara Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Narara Valley Drive,526,Niagara Park,"",2017,1974
Central Coast,1,Major Cities of Australia,-33.387915,151.362616,2250.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4329 1472,Dobell,1006,6,No,8,Gosford (C),Central Coast,July,August,Macquarie Park,No,4328 3024,No,Gosford,Qtr 3,Qtr 3,1,narara-p.school@det.nsw.edu.au,Co-Ed,Primary School,Narara Public School,Comprehensive,Kinder to Year 6,Not Selective,Newling St,378,Lisarow,"",2017,1889
Central Coast,1,Major Cities of Australia,-33.400215,151.361943,2250.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4329 1481,Dobell,985,6,No,12,Gosford (C),Central Coast,July,January,Macquarie Park,No,4328 4433,No,Gosford,Qtr 3,Qtr 1,1,valleyview-p.school@det.nsw.edu.au,Co-Ed,Primary School,Valley View Public School,Comprehensive,Kinder to Year 6,Not Selective,Chamberlain Rd,393,Wyoming,"",2017,1980
Central Coast,1,Major Cities of Australia,-33.371256,151.476613,2261.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4332 3543,Dobell,876,8,No,5,Wyong (A),Central Coast,July,January,Macquarie Park,No,4332 2944,No,Wyong,Qtr 3,Qtr 1,1,thentrance-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Tuggerah Lakes Secondary College The Entrance Campus,Senior College,Year 11 to Year 12,Not Selective,The Entrance Rd,803.2,Shelly Beach,"",2017,1970
Central Coast,1,Major Cities of Australia,-33.37611,151.466133,2261.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4332 6570,Dobell,925,16,No,9,Wyong (A),Central Coast,July,January,Macquarie Park,No,4333 1022,No,Wyong,Qtr 3,Qtr 1,1,brookeave-p.school@det.nsw.edu.au,Co-Ed,Primary School,Brooke Avenue Public School,Comprehensive,Kinder to Year 6,Not Selective,Brooke Ave,464,Killarney Vale,"",2017,1985
Central Coast,1,Major Cities of Australia,-33.391771,151.476143,2261.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4334 3121,Dobell,1014,7,No,5,Wyong (A),Central Coast,July,January,Macquarie Park,No,4332 8000,No,Wyong,Qtr 3,Qtr 1,1,bateaubay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Bateau Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,2A Waratah Street,729,Bateau Bay,"",2017,1980
Central Coast,1,Major Cities of Australia,-33.346741,151.493009,2261.00,3,1,No,Hunter New England & Central Coast,The Entrance,No,4334 3202,Dobell,903,20,No,12,Wyong (A),Central Coast,July,January,Macquarie Park,No,4332 2154,Yes,Wyong,Qtr 3,Qtr 1,1,thentrance-p.school@det.nsw.edu.au,Co-Ed,Primary School,The Entrance Public School,Comprehensive,Kinder to Year 6,Not Selective,Oakland Ave,540,The Entrance,"",2017,1915
