AECGRegion,AgeID,ASGSRemoteness,Year,Quarter,Month,Day,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,Year,Quarter,Month,Day,ICSEA_Value,indigenous_pct,LateOpeningSchool,Average of Latitude,lbote_pct,lga,LocalHealthDistrict,OperationalDirectorate,Average of Longitude,OpportunityClass,Phone,Average of PostCode,preschool,PrincipalNetwork,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 6326,Robertson,1966,Qtr 1,January,9,,10,No,-33.40658,6,Gosford (C),Central Coast,Macquarie Park,151.335729,No,4325 7783,2250.00,No,Gosford,1,glenvale-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Glenvale School,Comprehensive,Medium / High Support needs,Not Selective,Narara Creek Rd,149,Narara,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 6930,Robertson,1960,Qtr 1,January,10,1017,4,No,-33.437558,17,Gosford (C),Central Coast,Macquarie Park,151.348883,No,4325 2178,2250.00,No,Gosford,1,gosfordest-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gosford East Public School,Comprehensive,Kinder to Year 6,Not Selective,Cnr York & Webb Sts,358,East Gosford,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4323 7451,Robertson,1991,Qtr 1,January,29,,,No,-33.428082,,Gosford (C),Central Coast,Macquarie Park,151.347464,No,4324 7200,2250.00,No,Gosford,1,rumbalara-e.school@det.nsw.edu.au,Co-Ed,Environmental Education Centre,Rumbalara Environmental Education Centre,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),Not Selective,Donnison St,,Gosford,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4328 3609,Robertson,1991,Qtr 1,January,29,997,7,No,-33.398422,9,Gosford (C),Central Coast,Macquarie Park,151.334064,No,4329 3780,2250.00,No,Gosford,1,nararavaly-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Narara Valley High School,Comprehensive,Year 7 to Year 12,Not Selective,Cnr Fountains & Pandala Rds,1036.2,Narara,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4340 0259,Robertson,2010,Qtr 1,January,27,983,6,No,-33.43039,9,Gosford (C),Central Coast,Macquarie Park,151.296076,No,4340 0246,2250.00,No,Wyong,1,kariongmtn-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kariong Mountains High School,Comprehensive,Year 7 to Year 12,Not Selective,Festival Drive,583.4,Kariong,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4340 2523,Robertson,1988,Qtr 1,January,1,999,5,No,-33.441014,10,Gosford (C),Central Coast,Macquarie Park,151.289632,No,4340 1885,2250.00,No,Wyong,1,kariong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kariong Public School,Comprehensive,Kinder to Year 6,Not Selective,Langford Drive,579,Kariong,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4340 2527,Robertson,1913,Qtr 1,January,7,,35,No,-33.4237,19,Gosford (C),Central Coast,Macquarie Park,151.296,No,4340 1353,2250.00,No,Gosford,1,girrakool-s.school@det.nsw.edu.au,Boys,Schools for Specific Purposes,Girrakool School,Comprehensive,Juvenile Justice establishment,Not Selective,Pacific Hwy,77,Kariong,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4343 1517,Robertson,1928,Qtr 1,January,5,958,10,No,-33.513539,10,Gosford (C),Central Coast,Macquarie Park,151.332702,No,4341 3550,2257.00,No,Gosford,1,ettalong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Ettalong Public School,Comprehensive,Kinder to Year 6,Not Selective,Karingi St,532,Ettalong Beach,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4343 1704,Robertson,1976,Qtr 1,January,1,942,10,No,-33.507421,10,Gosford (C),Central Coast,Macquarie Park,151.308139,No,4341 9066,2257.00,No,Gosford,1,umina-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Brisbane Water Secondary College Umina Campus,Junior College,Year 7 to Year 10,Not Selective,Veron Rd,873,Umina,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4343 1984,Robertson,1964,Qtr 1,January,1,947,12,No,-33.503577,8,Gosford (C),Central Coast,Macquarie Park,151.321429,No,4341 1899,2256.00,No,Gosford,1,woywoysth-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woy Woy South Public School,Comprehensive,Kinder to Year 6,Not Selective,The School Mall,493,Woy Woy,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4344 3263,Robertson,1962,Qtr 1,January,1,,11,No,-33.492687,12,Gosford (C),Central Coast,Macquarie Park,151.323582,No,4341 1600,2256.00,No,Gosford,1,woywoy-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Brisbane Water Secondary College Woy Woy Campus,Senior College,Year 10 to Year 12,Not Selective,Edward St,658.6,Woy Woy,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4344 3916,Robertson,1956,Qtr 1,January,1,997,7,No,-33.52511,12,Gosford (C),Central Coast,Macquarie Park,151.314055,No,4341 1630,2257.00,No,Gosford,1,umina-p.school@det.nsw.edu.au,Co-Ed,Primary School,Umina Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,Sydney Ave,800,Umina Beach,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4344 3927,Robertson,1954,Qtr 1,January,1,982,12,No,-33.491705,14,Gosford (C),Central Coast,Macquarie Park,151.328247,No,4341 3555,2256.00,Yes,Gosford,1,woywoy-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woy Woy Public School,Comprehensive,Kinder to Year 6,Not Selective,Blackwall & Park Rds,424,Woy Woy,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Gosford,No,4349 3699,Robertson,1865,Qtr 1,February,1,1062,5,No,-33.42075,35,Gosford (C),Central Coast,Macquarie Park,151.33449,Yes,4349 3600,2250.00,No,Gosford,1,gosford-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gosford Public School,Comprehensive,Kinder to Year 6,Not Selective,Faunce St West,525,West Gosford,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4357 1828,Hunter,1879,Qtr 2,May,1,944,14,No,-33.174833,5,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.482961,No,4357 1225,2259.00,No,Lake Macquarie West,1,wyee-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wyee Public School,Comprehensive,Kinder to Year 6,Not Selective,Wyee St,209,Wyee,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4970 5386,Hunter,1965,Qtr 1,January,1,929,11,No,-33.104657,4,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.486629,No,4973 1999,2264.00,No,Lake Macquarie West,1,morisset-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Morisset High School,Comprehensive,Year 7 to Year 12,Not Selective,Bridge St,755.4,Morisset,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Lake Macquarie,No,4970 5939,Hunter,1891,Qtr 3,August,1,934,13,No,-33.103543,8,Lake Macquarie (C),Hunter New England,Tamworth & Coffs Harbour,151.489583,No,4973 1435,2264.00,No,Lake Macquarie West,1,morisset-p.school@det.nsw.edu.au,Co-Ed,Primary School,Morisset Public School,Comprehensive,Kinder to Year 6,Not Selective,6 Terrigal Street,224,Morisset,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,,Shortland,1923,Qtr 1,January,1,962,10,No,-33.1882,4,Wyong (A),Central Coast,Macquarie Park,151.575559,No,4358 1171,2259.00,No,Wyong,1,lakemunmor-p.school@det.nsw.edu.au,Co-Ed,Primary School,Lake Munmorah Public School,Comprehensive,Kinder to Year 6,Not Selective,Carters Rd,470,Lake Munmorah,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4358 1433,Shortland,2000,Qtr 1,January,28,947,9,No,-33.189743,4,Wyong (A),Central Coast,Macquarie Park,151.573699,No,4358 1411,2259.00,No,Wyong,1,lakemunmor-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Lake Munmorah High School,Comprehensive,Year 7 to Year 12,Not Selective,Carters Rd,699,Lake Munmorah,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4359 1667,Shortland,1961,Qtr 1,January,9,929,8,No,-33.150794,3,Wyong (A),Central Coast,Macquarie Park,151.536785,No,4359 1184,2259.00,No,Wyong,1,mannringpk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mannering Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Vales Rd,229,Mannering Park,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4399 1792,Shortland,1981,Qtr 1,January,1,922,12,No,-33.216762,5,Wyong (A),Central Coast,Macquarie Park,151.513395,No,4390 0555,2262.00,No,Wyong,1,northlake-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Northlakes High School,Comprehensive,Year 7 to Year 12,Not Selective,Brava Ave,877.4,San Remo,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4399 1935,Shortland,1991,Qtr 1,January,29,909,12,No,-33.214542,6,Wyong (A),Central Coast,Macquarie Park,151.514788,No,4399 2071,2262.00,No,Wyong,1,northlake-p.school@det.nsw.edu.au,Co-Ed,Primary School,Northlakes Public School,Comprehensive,Kinder to Year 6,Not Selective,69 Goorama Avenue,380,San Remo,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4399 1958,Shortland,1961,Qtr 1,January,1,938,18,No,-33.225718,4,Wyong (A),Central Coast,Macquarie Park,151.549312,No,4390 9166,2262.00,No,Wyong,1,budgewoi-p.school@det.nsw.edu.au,Co-Ed,Primary School,Budgewoi Public School,Comprehensive,Kinder to Year 6,Not Selective,Lukela Ave,562,Budgewoi,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Swansea,No,4972 5189,Shortland,1961,Qtr 1,January,9,953,12,No,-33.135468,5,Wyong (A),Central Coast,Macquarie Park,151.582444,No,4976 1318,2259.00,No,Wyong,1,gwandalan-p.school@det.nsw.edu.au,Co-Ed,Primary School,Gwandalan Public School,Comprehensive,Kinder to Year 6,Not Selective,Kanangra Drive,339,Gwandalan,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4323 6891,Robertson,1968,Qtr 1,January,1,949,16,No,-33.429911,11,Gosford (C),Central Coast,Macquarie Park,151.369267,No,4325 3963,2250.00,No,Gosford,1,chertsey-p.school@det.nsw.edu.au,Co-Ed,Primary School,Chertsey Primary School,Comprehensive,Kinder to Year 6,Not Selective,Willow Rd,220,Springfield,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4360 2153,Robertson,1927,Qtr 1,January,1,1104,0,No,-33.528039,12,Gosford (C),Central Coast,Macquarie Park,151.350019,No,4360 1012,2257.00,No,Gosford,1,prettybch-p.school@det.nsw.edu.au,Co-Ed,Primary School,Pretty Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,4 Pretty Beach Road,170,Pretty Beach,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4363 1052,Robertson,1881,Qtr 2,April,1,1023,5,No,-33.504316,7,Gosford (C),Central Coast,Macquarie Park,151.362889,No,4369 1796,2256.00,No,Gosford,1,empirebay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Empire Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,Empire Bay Drive,455,Empire Bay,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4363 1068,Robertson,1941,Qtr 1,January,9,1026,3,No,-33.478822,7,Gosford (C),Central Coast,Macquarie Park,151.357294,No,4369 1246,2251.00,No,Gosford,1,brisbania-p.school@det.nsw.edu.au,Co-Ed,Primary School,Brisbania Public School,Comprehensive,Kinder to Year 6,Not Selective,1 High Street,458,Saratoga,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4363 1265,Robertson,1990,Qtr 1,January,1,1003,6,No,-33.464894,6,Gosford (C),Central Coast,Macquarie Park,151.382516,No,4369 1555,2251.00,No,Gosford,1,kincumber-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Kincumber High School,Comprehensive,Year 7 to Year 12,Not Selective,Bungoona Rd,881,Kincumber,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4365 3086,Robertson,1964,Qtr 1,January,1,982,6,No,-33.440279,7,Gosford (C),Central Coast,Macquarie Park,151.381503,No,4367 7353,2250.00,No,Gosford,1,erina-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Erina High School,Comprehensive,Year 7 to Year 12,Not Selective,152 The Entrance Rd,700,Erina,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4365 3088,Dobell,1928,Qtr 1,January,1,1087,np,No,-33.405106,8,Gosford (C),Central Coast,Macquarie Park,151.407722,No,4367 7444,2250.00,No,Gosford,1,holgate-p.school@det.nsw.edu.au,Co-Ed,Primary School,Holgate Public School,Comprehensive,Kinder to Year 6,Not Selective,RMB 5255 Wattle Tree Rd,167,Holgate,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4365 3104,Robertson,1873,Qtr 2,May,1,1080,3,No,-33.428028,3,Gosford (C),Central Coast,Macquarie Park,151.413585,No,4367 7608,2260.00,No,Gosford,1,erinahts-p.school@det.nsw.edu.au,Co-Ed,Primary School,Erina Heights Public School,Comprehensive,Kinder to Year 6,Not Selective,Serpentine Rd,339,Erina Heights,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4365 3108,Robertson,1893,Qtr 1,January,1,1013,5,No,-33.439347,11,Gosford (C),Central Coast,Macquarie Park,151.37849,No,4367 7324,2250.00,No,Gosford,1,woodport-p.school@det.nsw.edu.au,Co-Ed,Primary School,Woodport Public School,Comprehensive,Kinder to Year 6,Not Selective,The Entrance Rd,395,Erina,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4369 2963,Robertson,1870,Qtr 2,April,1,1014,7,No,-33.468184,7,Gosford (C),Central Coast,Macquarie Park,151.394355,No,4369 1544,2251.00,No,Gosford,1,kincumber-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kincumber Public School,Comprehensive,Kinder to Year 6,Not Selective,Avoca Drive,443,Kincumber,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4381 1427,Robertson,1983,Qtr 1,January,2,1079,2,No,-33.485042,8,Gosford (C),Central Coast,Macquarie Park,151.436848,No,4382 1766,2251.00,No,Gosford,1,copacabana-p.school@det.nsw.edu.au,Co-Ed,Primary School,Copacabana Public School,Comprehensive,Kinder to Year 6,Not Selective,Pueblo St,331,Copacabana,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4381 1431,Robertson,1935,Qtr 1,January,5,1094,4,No,-33.471154,6,Gosford (C),Central Coast,Macquarie Park,151.430745,No,4382 1416,2251.00,No,Gosford,1,avocabch-p.school@det.nsw.edu.au,Co-Ed,Primary School,Avoca Beach Public School,Comprehensive,Kinder to Year 6,Not Selective,The Round Drive,511,Avoca Beach,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4385 2469,Robertson,1978,Qtr 1,January,1,1041,3,No,-33.442167,8,Gosford (C),Central Coast,Macquarie Park,151.429342,No,4384 4677,2260.00,No,Gosford,1,terrigal-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Terrigal High School,Comprehensive,Year 7 to Year 12,Not Selective,Charles Kay Drive,1044,Terrigal,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4385 2470,Robertson,1910,Qtr 1,January,9,1051,5,No,-33.442449,9,Gosford (C),Central Coast,Macquarie Park,151.438197,No,4384 4599,2260.00,No,Gosford,1,terrigal-p.school@det.nsw.edu.au,Co-Ed,Primary School,Terrigal Public School,Comprehensive,Kinder to Year 6,Not Selective,Havenview Rd,796,Terrigal,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,Terrigal,No,4385 2478,Dobell,1877,Qtr 3,August,1,1035,5,No,-33.412197,5,Gosford (C),Central Coast,Macquarie Park,151.448258,No,4384 1111,2260.00,No,Wyong,1,wamberal-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wamberal Public School,Comprehensive,Kinder to Year 6,Not Selective,Lea Ave,732,Wamberal,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4323 6932,Dobell,1955,Qtr 1,January,1,946,15,No,-33.408202,15,Gosford (C),Central Coast,Macquarie Park,151.355782,No,4325 2181,2250.00,No,Gosford,1,wyoming-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wyoming Public School,Comprehensive,Kinder to Year 6,Not Selective,Maidens Brush Rd,329,Wyoming,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4329 1416,Dobell,1980,Qtr 1,January,1,1000,4,No,-33.385327,12,Gosford (C),Central Coast,Macquarie Park,151.370354,No,4328 4599,2250.00,No,Gosford,1,lisarow-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Lisarow High School,Comprehensive,Year 7 to Year 12,Not Selective,Chamberlain Rd,745.2,Lisarow,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4329 1420,Robertson,1974,Qtr 1,January,1,1013,3,No,-33.384122,10,Gosford (C),Central Coast,Macquarie Park,151.351096,No,4328 3397,2250.00,No,Gosford,1,niagarapk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Niagara Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Narara Valley Drive,526,Niagara Park,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4329 1472,Dobell,1889,Qtr 3,August,1,1006,6,No,-33.387915,8,Gosford (C),Central Coast,Macquarie Park,151.362616,No,4328 3024,2250.00,No,Gosford,1,narara-p.school@det.nsw.edu.au,Co-Ed,Primary School,Narara Public School,Comprehensive,Kinder to Year 6,Not Selective,Newling St,378,Lisarow,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4329 1481,Dobell,1980,Qtr 1,January,1,985,6,No,-33.400215,12,Gosford (C),Central Coast,Macquarie Park,151.361943,No,4328 4433,2250.00,No,Gosford,1,valleyview-p.school@det.nsw.edu.au,Co-Ed,Primary School,Valley View Public School,Comprehensive,Kinder to Year 6,Not Selective,Chamberlain Rd,393,Wyoming,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4332 3543,Dobell,1970,Qtr 1,January,1,876,8,No,-33.371256,5,Wyong (A),Central Coast,Macquarie Park,151.476613,No,4332 2944,2261.00,No,Wyong,1,thentrance-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Tuggerah Lakes Secondary College The Entrance Campus,Senior College,Year 11 to Year 12,Not Selective,The Entrance Rd,803.2,Shelly Beach,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4332 6570,Dobell,1985,Qtr 1,January,1,925,16,No,-33.37611,9,Wyong (A),Central Coast,Macquarie Park,151.466133,No,4333 1022,2261.00,No,Wyong,1,brookeave-p.school@det.nsw.edu.au,Co-Ed,Primary School,Brooke Avenue Public School,Comprehensive,Kinder to Year 6,Not Selective,Brooke Ave,464,Killarney Vale,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4334 3121,Dobell,1980,Qtr 1,January,1,1014,7,No,-33.391771,5,Wyong (A),Central Coast,Macquarie Park,151.476143,No,4332 8000,2261.00,No,Wyong,1,bateaubay-p.school@det.nsw.edu.au,Co-Ed,Primary School,Bateau Bay Public School,Comprehensive,Kinder to Year 6,Not Selective,2A Waratah Street,729,Bateau Bay,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4334 3202,Dobell,1915,Qtr 1,January,1,903,20,No,-33.346741,12,Wyong (A),Central Coast,Macquarie Park,151.493009,No,4332 2154,2261.00,Yes,Wyong,1,thentrance-p.school@det.nsw.edu.au,Co-Ed,Primary School,The Entrance Public School,Comprehensive,Kinder to Year 6,Not Selective,Oakland Ave,540,The Entrance,
Central Coast,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Hunter New England & Central Coast,The Entrance,No,4351 2827,Dobell,1892,Qtr 1,January,1,997,7,No,-33.312999,11,Wyong (A),Central Coast,Macquarie Park,151.415571,No,4352 1116,2259.00,No,Wyong,1,tuggerah-p.school@det.nsw.edu.au,Co-Ed,Primary School,Tuggerah Public School,Comprehensive,Kinder to Year 6,Not Selective,1 Pacific Hwy,511,Tuggerah,
